MinLevel;MaxLevel;Name;ArmourModificationType;Intensity
1;4;wooden sewing machine;ABSORBCHANCE;2
1;4;wooden sewing machine;ABSORBCHANCE;-2
1;4;wooden sewing machine;BLOCKCHANCE;2
1;4;wooden sewing machine;BLOCKCHANCE;-2
1;4;wooden sewing machine;DEFENSE;2
1;4;wooden sewing machine;DEFENSE;-2
1;4;wooden sewing machine;MAGICDEFENSE;2
1;4;wooden sewing machine;MAGICDEFENSE;-2
5;8;bronze sewing machine;ABSORBCHANCE;4
5;8;bronze sewing machine;ABSORBCHANCE;-4
5;8;bronze sewing machine;BLOCKCHANCE;4
5;8;bronze sewing machine;BLOCKCHANCE;-4
5;8;bronze sewing machine;DEFENSE;4
5;8;bronze sewing machine;DEFENSE;-4
5;8;bronze sewing machine;MAGICDEFENSE;4
5;8;bronze sewing machine;MAGICDEFENSE;-4
9;12;silver sewing machine;ABSORBCHANCE;6
9;12;silver sewing machine;ABSORBCHANCE;-6
9;12;silver sewing machine;BLOCKCHANCE;6
9;12;silver sewing machine;BLOCKCHANCE;-6
9;12;silver sewing machine;DEFENSE;6
9;12;silver sewing machine;DEFENSE;-6
9;12;silver sewing machine;MAGICDEFENSE;6
9;12;silver sewing machine;MAGICDEFENSE;-6
13;16;golden sewing machine;ABSORBCHANCE;8
13;16;golden sewing machine;ABSORBCHANCE;-8
13;16;golden sewing machine;BLOCKCHANCE;8
13;16;golden sewing machine;BLOCKCHANCE;-8
13;16;golden sewing machine;DEFENSE;8
13;16;golden sewing machine;DEFENSE;-8
13;16;golden sewing machine;MAGICDEFENSE;8
13;16;golden sewing machine;MAGICDEFENSE;-8
